locationid,objectid,title,TypesofArt,constituentid,displaydate,forwarddisplayname,preferreddisplayname,displaydate_x,nationality,visualbrowsernationality,displayorder,roletype,role,prefix,suffix,displaydate_y,beginyear,endyear,country,medium,creditline,dimensions,site,room,publicaccess,description,unitposition,iiifurl,iiifthumburl
9032,96663,Pan and Syrinx,Sculpture,2024,mid 16th century,Giovanni Bernardi,"Bernardi, Giovanni","Bolognese, 1494 - 1553",Italian,Italian,1,artist,sculptor,,,,,,,bronze,Gift of Douglas Lewis,overall: 5.4 x 4 cm (2 1/8 x 1 9/16 in.) gross weight: 29 gr,West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/b0dd2c59-077b-47ba-a045-7316ab52287c,"https://api.nga.gov/iiif/b0dd2c59-077b-47ba-a045-7316ab52287c/full/!200,200/0/default.jpg"
9032,44570,Self-Portrait [obverse],Sculpture,2031,1458,Giovanni Boldù,"Boldù, Giovanni","Venetian, active c. 1454 - before 1477",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 8.5 cm (3 3/8 in.)
gross weight: 208.89 gr (0.461 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/ef429707-0339-461d-9eda-f14e3fe428af,"https://api.nga.gov/iiif/ef429707-0339-461d-9eda-f14e3fe428af/full/!200,200/0/default.jpg"
9032,44571,Boldù with the Genius of Death [reverse],Sculpture,2031,1458,Giovanni Boldù,"Boldù, Giovanni","Venetian, active c. 1454 - before 1477",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 8.5 cm (3 3/8 in.)
gross weight: 208.89 gr (0.461 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/bd3f7e6a-3e16-41e9-a553-0b699ef06339,"https://api.nga.gov/iiif/bd3f7e6a-3e16-41e9-a553-0b699ef06339/full/!200,200/0/default.jpg"
9032,44609,Two Men Trying to Unveil Truth [reverse],Sculpture,2216,1517/1521,Maffeo Olivieri,"Olivieri, Maffeo","Brescian, 1484 - after 1534",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 9.43 cm (3 11/16 in.)
gross weight: 285.01 gr (0.628 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/ed28bd8b-28e9-426f-bed9-6ed723d8e460,"https://api.nga.gov/iiif/ed28bd8b-28e9-426f-bed9-6ed723d8e460/full/!200,200/0/default.jpg"
9032,95758,The Adoration of the Shepherds,Sculpture,3686,c. 1526,Gian Jacopo Caraglio,"Caraglio, Gian Jacopo","Italian, c. 1500 - 1565",Italian,Italian,1,artist,artist,,,,,,,bronze,Eugene L. and Marie-Louise Garbáty Fund,overall (oval): 7.5 x 9.1 cm (2 15/16 x 3 9/16 in.),West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/c337154e-5d79-4fe1-a86b-19094788256a,"https://api.nga.gov/iiif/c337154e-5d79-4fe1-a86b-19094788256a/full/!200,200/0/default.jpg"
9032,95760,"Christ in the Tomb, supported by the Virgin, Saint John, and an Angel",Sculpture,2200,1508/1513,Moderno,Moderno,"Veronese, 1467 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Eugene L. and Marie-Louise Garbáty Fund,"overall: 7.29 × 5.72 cm (2 7/8 × 2 1/4 in.)
gross weight: 97.55 gr (0.215 lb.)",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/6c77dc38-60bc-420e-b69e-3584b705022a,"https://api.nga.gov/iiif/6c77dc38-60bc-420e-b69e-3584b705022a/full/!200,200/0/default.jpg"
9032,95762,David and Goliath,Sculpture,2200,mid or late 1490s,Moderno,Moderno,"Veronese, 1467 - 1528",Italian,Italian,1,artist,sculptor,,,,,,,gilded bronze,Gift of Douglas Lewis,"overall: 3 cm (1 3/16 in.)
gross weight: 11.28 gr (0.025 lb.)",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/24da322c-69d6-497b-99df-5b2d158e1ea8,"https://api.nga.gov/iiif/24da322c-69d6-497b-99df-5b2d158e1ea8/full/!200,200/0/default.jpg"
9032,95799,Address to a Married Couple,Sculpture,2019,before 1540,Valerio Belli,"Belli, Valerio","Italian, 1468 - 1546",Italian,Italian,1,artist,sculptor,,,,,,,bronze,Gift of Douglas Lewis,overall: 5.4 x 4.6 cm (2 1/8 x 1 13/16 in.) gross weight: 27 gr,West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/69a95d69-5367-485c-9dbd-8cd7243b7f93,"https://api.nga.gov/iiif/69a95d69-5367-485c-9dbd-8cd7243b7f93/full/!200,200/0/default.jpg"
9032,44642,Portrait of a Woman [obverse],Sculpture,2233,first quarter 16th century,Giovanni Maria Pomedelli,"Pomedelli, Giovanni Maria","Veronese, 1478/1479 - 1537",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 5.41 cm (2 1/8 in.)
gross weight: 61.17 gr (0.135 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/eecf114c-1504-4c40-8cc0-60dfb55c35ce,"https://api.nga.gov/iiif/eecf114c-1504-4c40-8cc0-60dfb55c35ce/full/!200,200/0/default.jpg"
9032,90151,"Battle Scene, in a Rectangular Frame",Sculpture,2200,1505/1510,Moderno,Moderno,"Veronese, 1467 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Gift of Douglas Lewis,"overall: 5.7 x 6.45 cm (2 1/4 x 2 9/16 in.)
gross weight: 46.32 gr (0.102 lb.)",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/37ae5611-63ea-4e0d-a5cc-6cc72d2fb452,"https://api.nga.gov/iiif/37ae5611-63ea-4e0d-a5cc-6cc72d2fb452/full/!200,200/0/default.jpg"
